nohup: 忽略输入
2023-08-26 20:01:49.166119: I tensorflow/core/platform/cpu_feature_guard.cc:182] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
2023-08-26 20:01:49.625335: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Could not find TensorRT
/home/yanglj/Desktop/restoration/ECSC-Net/core/ECSCNet.py:53: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  z = F.conv2d(z, D, stride=stride)
test-> epoch:    2, avg_loss: 0.0031, avg_psnr: 25.7756, Time consumed:0.12min
-----------------------------------------------------------

Iter 10.353K-> avg_loss: 0.0010, avg_psnr: 30.1610, cur_loss: 0.0010, cur_psnr: 30.1610, LR= 1.40000e-04, index: [1598],
Iter 10.553K-> avg_loss: 0.0028, avg_psnr: 26.5703, cur_loss: 0.0018, cur_psnr: 27.3627, LR= 1.40000e-04, index: [208],
Iter 10.753K-> avg_loss: 0.0026, avg_psnr: 26.7908, cur_loss: 0.0046, cur_psnr: 23.3978, LR= 1.40000e-04, index: [3699],
Iter 10.953K-> avg_loss: 0.0026, avg_psnr: 26.9369, cur_loss: 0.0014, cur_psnr: 28.4280, LR= 1.40000e-04, index: [1081],
Iter 11.153K-> avg_loss: 0.0026, avg_psnr: 26.8833, cur_loss: 0.0034, cur_psnr: 24.6282, LR= 1.40000e-04, index: [1768],
Iter 11.353K-> avg_loss: 0.0026, avg_psnr: 26.9458, cur_loss: 0.0002, cur_psnr: 36.5909, LR= 1.40000e-04, index: [3687],
Iter 11.553K-> avg_loss: 0.0026, avg_psnr: 26.8538, cur_loss: 0.0039, cur_psnr: 24.0850, LR= 1.40000e-04, index: [1316],
Iter 11.753K-> avg_loss: 0.0027, avg_psnr: 26.8031, cur_loss: 0.0013, cur_psnr: 28.8061, LR= 1.40000e-04, index: [4674],
Iter 11.953K-> avg_loss: 0.0026, avg_psnr: 26.8480, cur_loss: 0.0037, cur_psnr: 24.2829, LR= 1.40000e-04, index: [2945],
